aqi,o3,so2,no2,co,pm25,pm10,timestamp_local,timestamp_utc,datetime,ts,city_name,lat,lon,timezone,country_code,state_code,county_name
45.6,52.9402,0.691041,7.43432,410.724,9.17041,9.22092,2020-03-23T00:00:00,2020-03-22T23:00:00,2020-03-22:23,1584918000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
40,52.4077,0.678003,8.80058,407.803,7.30843,7.55576,2020-03-22T23:00:00,2020-03-22T22:00:00,2020-03-22:22,1584914400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
35.8,54.1729,0.683591,9.86268,406.134,5.40492,5.83484,2020-03-22T22:00:00,2020-03-22T21:00:00,2020-03-22:21,1584910800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
32,57.7977,0.650063,10.1365,402.463,3.46593,4.02331,2020-03-22T21:00:00,2020-03-22T20:00:00,2020-03-22:20,1584907200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
29,63.4789,0.659376,9.88552,398.874,1.53172,2.16033,2020-03-22T20:00:00,2020-03-22T19:00:00,2020-03-22:19,1584903600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
31,67.5023,0.685453,8.15047,393.033,1.49904,2.02418,2020-03-22T19:00:00,2020-03-22T18:00:00,2020-03-22:18,1584900000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
33,70.4527,0.716187,6.68317,394.285,1.59346,2.09565,2020-03-22T18:00:00,2020-03-22T17:00:00,2020-03-22:17,1584896400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
34,72.9561,0.723638,5.23194,393.45,1.63142,2.10537,2020-03-22T17:00:00,2020-03-22T16:00:00,2020-03-22:16,1584892800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
34,74.476,0.729226,4.34835,393.867,1.59702,2.04943,2020-03-22T16:00:00,2020-03-22T15:00:00,2020-03-22:15,1584889200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
34,73.8502,0.719912,3.91458,391.781,1.56009,2.00674,2020-03-22T15:00:00,2020-03-22T14:00:00,2020-03-22:14,1584885600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
33,71.7044,0.766478,3.96278,393.033,1.52501,2.01078,2020-03-22T14:00:00,2020-03-22T13:00:00,2020-03-22:13,1584882000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
32,69.648,0.833534,4.33228,393.45,1.49931,2.04988,2020-03-22T13:00:00,2020-03-22T12:00:00,2020-03-22:12,1584878400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
33,70.2739,0.81677,4.53577,396.371,1.35307,1.91622,2020-03-22T12:00:00,2020-03-22T11:00:00,2020-03-22:11,1584874800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
32,68.5751,0.773929,4.80888,397.205,1.28696,1.85619,2020-03-22T11:00:00,2020-03-22T10:00:00,2020-03-22:10,1584871200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
28,59.9027,0.827946,6.20121,403.047,1.51882,2.19061,2020-03-22T10:00:00,2020-03-22T09:00:00,2020-03-22:09,1584867600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
25,54.0018,0.741333,6.96164,403.047,1.57865,2.23247,2020-03-22T09:00:00,2020-03-22T08:00:00,2020-03-22:08,1584864000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
23,49.5315,0.701286,8.30041,408.888,1.72352,2.3787,2020-03-22T08:00:00,2020-03-22T07:00:00,2020-03-22:07,1584860400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
21,46.3128,0.674278,8.84663,413.895,1.84949,2.51661,2020-03-22T07:00:00,2020-03-22T06:00:00,2020-03-22:06,1584856800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
21,45.6423,0.680797,8.80379,419.736,1.88183,2.54133,2020-03-22T06:00:00,2020-03-22T05:00:00,2020-03-22:05,1584853200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
21,44.8823,0.652857,9.07155,421.405,1.90278,2.57178,2020-03-22T05:00:00,2020-03-22T04:00:00,2020-03-22:04,1584849600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
21,44.6588,0.646338,9.40356,424.743,1.93568,2.62055,2020-03-22T04:00:00,2020-03-22T03:00:00,2020-03-22:03,1584846000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
20,43.8094,0.623986,9.77842,424.325,1.96887,2.69607,2020-03-22T03:00:00,2020-03-22T02:00:00,2020-03-22:02,1584842400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
20,43.1836,0.634231,10.0569,426.412,2.00515,2.76852,2020-03-22T02:00:00,2020-03-22T01:00:00,2020-03-22:01,1584838800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
19,41.7531,0.611879,10.5174,423.491,2.07153,2.87365,2020-03-22T01:00:00,2020-03-22T00:00:00,2020-03-22:00,1584835200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
19,41.306,0.594184,11.0101,422.239,2.13206,2.98061,2020-03-22T00:00:00,2020-03-21T23:00:00,2020-03-21:23,1584831600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
19,41.306,0.542961,11.2029,419.736,2.11992,2.98917,2020-03-21T23:00:00,2020-03-21T22:00:00,2020-03-21:22,1584828000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
19,42.066,0.531785,11.5028,418.067,2.00466,2.82554,2020-03-21T22:00:00,2020-03-21T21:00:00,2020-03-21:21,1584824400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
20,43.6306,0.506639,11.717,414.729,1.81459,2.59467,2020-03-21T21:00:00,2020-03-21T20:00:00,2020-03-21:20,1584820800,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
22,47.1175,0.49267,11.4385,411.391,1.64848,2.36451,2020-03-21T20:00:00,2020-03-21T19:00:00,2020-03-21:19,1584817200,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
24,52.8395,0.467058,10.0355,409.305,1.52286,2.15861,2020-03-21T19:00:00,2020-03-21T18:00:00,2020-03-21:18,1584813600,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
26,56.7734,0.469387,8.24686,406.802,1.50741,2.08376,2020-03-21T18:00:00,2020-03-21T17:00:00,2020-03-21:17,1584810000,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
27,57.9357,0.476837,7.09016,405.55,1.5502,2.08811,2020-03-21T17:00:00,2020-03-21T16:00:00,2020-03-21:16,1584806400,Vierhuizen,53.35,6.26,Europe/Amsterdam,NL,04,Dublin
